essay_id	essay_set	essay	domain1_score
122	1	Dear Local Newspaper, @CAPS1 @PERCENT1 in town use the computer for at least five hours each day. The people are spending way too much time and not benefiting. Computers have an effect on people but in a negative way. People get adicted and distracted and can't get work done. Many inappropriate things are written in computers that children and adults shouldn't read. Lastly people stare at a computer screen all day which can cause brain damage. Effects from computers can be very negative and not beneficial at all. With children at school and adults at jobs, there is most likely a lot of work to get done, but computers should make a person not get the work done. The other day in class the teacher was collecting homework, but @NUM1 out of the @NUM2 kids in our class didn't have the homework. When the teacher asked why the kids didn't do their homework, they said that they were on the computer and forgot about the homework. When the children and adults don't get their work done then grades could be dropped, or people could get fired. The effect is very harmful, and all this happened just because of the adiction and distraction of computers. Since some internet sources are very social, and not all people are kind, mean and inappropriate articles and language could be read. Many children don't know a lot of bad words and certainly no one wants them to be exposed to learning more, so why let them go on the computer and read about these bad things? Adults @MONTH1 know more about the harmful language, but why influence them to write the bad things or comment using mean tones. If adults and children aren't exposed to these bad uses of language then our world could easily be made up of better and kinder people. Studies show that if a person stares at a computer screen for at least three hours a day, then in about two weeks time the person brain could be damaged. The screen of the computer in some way with the human brain and if stared at for too long the screen could permenately damage the brain. A @ORGANIZATION1 student, who studies computer mechanics, quoted, "@CAPS2 help prevent brain damage by limiting the use of computers to only what needs to be done. The mechanics to make the computer screen are not healthy for you!" Who wants to have a damaged brain? Surely this effect could be very serious. So, in the end people should know that computers are not benefiticial. Computers effect people for sure, but not in a way that people would want to be effected. Adiction and distraction from the computer could cause important work to be ignored. Children and adults do not need to learn or be influenced by inappropriate language on the computer. Brain damage could be a serious problem that could be caused by something as simple as looking at a computer screen. @CAPS2 try to prevent all these negative effects by limiting the use of your computer. It is very easy to stay clear of any negative effects but it is your choice whether to do so or not.	9
123	1	Every where you look people are using computers. Just about everyone has one. Some say that computers are bad for you but they can really benefit society. Computers are used for research, socializing and almost all of our @CAPS1 work is done on computers. One of the main things that computers provide is research information. If you want to find out anything, you can find it on the internet. It is an efficient way to study or find information for school. Before the internet and computers, it would take weeks to find enough information for a paper or business work. This was because all information was found in books. Books did not always give you the information you needed whatever was written was all you got. Because of saearch engines and websites, you can type in whatever you want to look up. It is much easier to log onto a computer and type in a question than search an entire book to find an answer. Computers are the best way to research a topic. Computers are also used to socialize. You can chat with almost anyone on the internet. Being social is one of the most important parts of life. It has been proven by science that social people live longer than people who never talk to anyone. The person you're talking to phnes only give you audio and that doesn't give you the some thing. video chat can allow you to show someone a picture or an expression. Computers allow you to see people that you can't see otherwise. For example, if you have a relative that lives far way and you cant him or her, you can see them through video that socializing through computers is pne of the best ways to talk to people. Our @CAPS1 is mainly run on computers, without them, it would be very difficult to be aware of an on coming attack or threat. The @CAPS1 uses computers to store thir legal files of court cases laws, etc. It is much easier to transfer files digitally than actually sending a paper copy. The store market is also run on computers. You need them to see how you are doing financially computers are essential to our @CAPS1 and economy. Although some experts say that computers do us no good, computers benefit our society very much. They help us research, socialize and they help our @CAPS1 and economy. Computers are essential to our way of life.	10
124	1	I think that the computers are good to be used because anybody can use them at anytime or go on it whenever they want to. The reason why I think it is good is because you can contact someone that you know and talk to them whenever you want. Another reason is because you can play games or look for something or even make a research on stuff that you want to know or about something that you were always curious about. A computer is also usefull for better things like using it for when going to work or when a kid in school needs to do a report of project and needs to do it in typing and also to save stuff that you don't want nobody to use. Computers can sometimes be helpfull to people that really need it and that actually need to use it, but it can also be a fun activity to do if anybody doesnt have nothing to do. I think that the computer is awsome because anybody enough can open up their own website and create something what. A lot of people can go on the internet and open an account on a website; for example a @CAPS1 or a @CAPS2 or a @CAPS3 for that what to have an account. These are a lot of people that use the computer in a good way and use it for things that it can actually be used for. So I think that the computers are avery helpfull to people that like seaching for stuff that there curious about or to have to use it for good needs.	7
125	1	Computers don't have any affect on kids we just love going on cause we use it for help and this persuade the readers of the local newspaper cause we need to be able to communicate also do writing essays and doing social studies or science homework my ideas are let us go computers cause were not bothering u can just leave us alone and let us do what you need to do cause what computers are what give us information for we have to do and were to do wat we gotta do and u people can just leave us alone cause arent addicting to me or anyone and if we were it still would it matter cause a computers a computer u dont punish it because just punish us from the computer punish us because of it cause its the computer fault it can be addicting cause the computer is device that gives us wat we need and the information we also the computer does favors for us the computer is a amazing thing	5
6086	3	The features of the setting affect the cyclist because it is hard to go far on a bike when the place, you are ridding is dry, abandoned, a quiet, hot cold and straight forward. It tells you that the setting is abandoned when if says there was none in sight, not a building, car or structure of any kind"". This would make it hard for a cycler because you need a good water supply and thats hard to keep when there is nothing around."	1
6087	3	The cyclist choose to take an old abandoned route to @LOCATION1. The route had in some places no buildings at all to see making the cyclist loss hope of his need for water. Until the end there was no one on the route making him all alone. So if something happen who would know. During his adventure he ran out of water making him dehydrated that didn't help. The setting of the story seems tragic to the cyclist.	2
6088	3	The features of the setting effected the cyclist very much. The text says, The sun was beginning to beat down"(Kurmaskie @NUM1). The hot sun was making the cyclist sweat. He was losing water. This was making him dehadrayted faster. The text says. "Flat road was replaced by short, rolling hills"" (Kurmaskie @NUM2). The hills the cyclist had to ride up were wearing him out. He was getting tierd faster. The text says. "I stubled into a rather modern in bathroom and drank deeply from the sink"" (Kurmaskie @NUM3). The modern bathroom had good, cold water. This allowed the cylist to drink from it. The water replenished the cyclist allowing him to regain some of his strength. Then the cyclist could carry on."	2
6089	3	In the eassy DO NOT Exceed posted speed limit," It is a clear cut for survival as it seems that this man is fighting to stay alive. As l know cyclists pedal for hours at a time and sometimes for hundreds of miles of he was biking where green grass and cool mountains collide the tone and mood of the essay would of beam completely different.He uses sentences such as "... of two hundred degrees, deteriorating brain, birds would pick me up clean and drop from heatstroke." @CAPS1 all make me want to read further in the essay to see lf he will be ok by thes end of his journey? I know what the feeling is when you are low of fluids because l have chronic dehydrated. I couldn't imagine biking and only seeing desert hiss and passing tumble weed. It sounds like an awful experience. If he were somewhere cooler and colorful his experience wouldnt of been so horrific."	3
6090	3	There are many ways that the setting affected the cyclist. One way is in the story when it says that it was very hot, he could become dehydrated and could possibly have a heat stroke, also the rodes were windy. This could be a problem because hes tired so he might not be able to go around the turns, he might just keep going straight and then get lost even more. That is all about how the features of the setting affect the cyclist in the story.	1
6091	3	The features in the setting of "Rough Road ahead" affect the cyclist. First of all, the weather causes most of his problems. Since the cyclist was biking in a california desert in June the temperature had to be in the @NUM1's. This causes him to become dehydrated, which is evident when he states, "I had been hitting my water bottles quite regularly" The heat therefore causes the cyclist to drive excessively and run out of water, also, the objects the cyclsit comes across on his journey affect him. For example, while riding on a rough path, "a ridiculously large snake blocked the majority of the pavement in front of me." This saves the biker progress and most likely scared him. The cyclsit is greatly affected by the features in the story setting.	3
6092	3	The cyclist was affected by the heat. The fact was June , hes in the desert and has low on water were what almost lead to his own down fall. This hot desert setting sounds hostile and am I'm surprised he lived and that he was that lucky.	1
6093	3	The features of the setting had misled the cyclist. When he had first left the town where the old men adviced him cyclist had high hopes as a looked and senery enjoyed seeing very ? of the struggle.	1
6094	3	The setting affects the cyclist in a large way. He has a hard time going on his journey. He began to lose hope, get tired, and began to think he was going to die. The settings played the biggest role. It was very hot with no people or buildings around him. He had very little water and no place to get anymore. He then encountered a large snake which made it worse because he was in fear with no one around to help him. If he would have followed his own directions instead of the old men he would not have had this problem. The setting around him really made his trip a hard one with no water, people, towns, or buildings around him.	1
6096	3	The features of the setting in Rough Road Ahead, Do Not Exceed Posted Speed Limit, "affect  the cyclist in major ways. First, when the cyclist sees the grape juice factory, he is reminded that he is out of water and is doubtful about even living. The text states, "...A young   pouring a refreshing glass of juice into his mouth could still be seen. I hung  my head "   (Kurmaskie @NUM1 ). The  text later states, "" At some point, tumbleweeds crossed my path..."" (kurmaskie). This tells that the cyclist feels de pressed and is majorly affected by these sights. This could and would later ruin his self esteem and think about diying."	2
6097	3	The cyclist went on a rough journey and he was explaning how tiering it was and difficult it was for him going from town to town having to diel with lack of water poisonous snakes and the condition of the road.	1
6098	3	The setting of the essay didn't really help the author at all on his journey. There were not many structures on the way. Either that, of the towns said to be, a ghost town." @CAPS1 this couldn't have reassured the author that things were going his way. It also was very hot during his journey. The author says he is "traveling through the deserts of California in June." Deserts are very hot places and June is during summer which is the hottest month so it had to have been extremely hot and humid. @CAPS1 all this must have taken a toll because he never really saw anything reassuring until the last town he reached with the bait store. So the setting definitely had to have affected his confidence and his energy levels."	3
6099	3	The features that set the affect of the cyclist is very clear in case of this essay which resene when it @CAPS1 the signs  that said "Rough @CAPS2 ahead: Do not Exceed posted Speed Limit." That had to slow down his bike. "Then he said that their were no building or cars nowhere	1
6100	3	The features of the setting affect the cyclist in many ways. In the essay, it states, This place might have been a thriving little spot at one time-say, before the last world war-but on that morning it fit the tradition of a ghost town." This statement might affect the cyclist in the way that, they fear if they get into any trouble there is no one around to help out. This statement can also mean that they fear that they are going the wrong way. In the essay, it states, "One ramshackle shed, several rusty pumps, and a coral they couldn't had in the larger mule greeted me." This statement simply gives the cyclist the impression that this particular town is juice, and that nobody has even been known to live here in years, @MONTH1 be decades. The different features of the journey of the cyclist in the essay, many would fear the outcome,if they over fear the journey and turned "old timers" who had never left their porches, in order to experience such things.         "	2
3103	2	I feel as we are letting kids these days do as they feel, and do what ever they want. We are making them think that we don't care what they are involved in, but thats not true. We need to set boundries for what kids should and shouldn't be able to do. We need to show them that we know what they doing.     I think that there should be an age policy for libraries. If there are any books that have any types of adult content, they should be in the adult section. If you ever wanted to check out books, movies, or magazines from that section you would have to be eighteen or older. If that was to much to ask for then you should at least have the parents sign a concent form.      Book, movies, and magiznes with any type of adult content can be harzardess to child, whether its through their actions or behaviors. It @MONTH1 effect their lives depending on what age they were introduced to such things. We need to show them that we care.     I know from personal experiences that being exposed to this, drasticly changes people, not over time but quickly. Now a days the media is portarying that money, alcohal, fame, and drugs are good things. This is what we are putting into our movies and books and magazines, and putting into the children of @CAPS1 heads. We are telling them that its ok, but its most certanly not.      These are all the reasons why we should put cencorships and restrictions on libraries. We are letting the children of @CAPS2 grow up to fast and introducing them to things way to early. In a way we are brain washing them on how to live a destructive live, through adult oriented things	3
3104	2	The media is destroying our youth! this is something we hear everyday. Teachers are telling us this, while parents and grandparents are telling us how mush different their world used to be. They explain how the media of their time wasn't as open about sex and violence. They go on to say how they didn't have violent video games teaching children that killing is alright. Because of these people, we think that the media is repsonsible for the wrong in the world of @DATE1. The truth is that it isn't the medias fault, it is the parents. It is the parents responsiblity to teach the children of the world the difference between right and wrong. If these such parent do their jobs correctly then the youth of @DATE1 will not need for everything to be censored. It is my firm belief that their should not be any censorships. When their is censorship people can govern what we learn, destroy what goes agiainst their beliefs, and destroy our god given right to freedom of speech    Censorship will detroy the knowlege available @DATE1. We have had seen censorship in our history. When we look back we see that the @ORGANIZATION1's censored and destroyed anything that went against them. We hated it when they had book burnings and destroyed the custums, art, and music that the government felt was wrong for their people. How would we be any different if we did it. We could potentailly be destroying somones way of life. We would be destroying what could possibly be tomorrows masterpeice. In censoring we would be detroying history.By destroying history we would be detroying the brilliance that is learning.     If we allow censorship anything that goes against our own personal beliefs would be destroyed. If you ask any christian if they would allow their children to read the muslim book of faith, the @LOCATION1, they would tell you no. It would be the same if you asked a muslim if they would let their children read the @CAPS1. The point is that if their is cansorship we would be destroying other peoples beliefs. No one has the right to govern what others believe in the world.     Also in censorship we would be exterminating our freedom of speech and the freedom to express ourselves. If we don't allow peole to read what someone else has written because we believe it is wrong, then we are taking away their ability to learn new ideas because everyone has different opinionsand theories. Every newspaper would shut down because they would all be saying the same thing. No one would want to read them because they would already know what they would hav eto say. When we start giving up rights such as freedom of speech we will not be able to stop those people who took those right from taking more.      Of course their will always be things in the media, in books, and in music that we don't like.Their will be cursing, nudity, and violence everywhere we turn. This is not because we want it there, but because these things are a part of life. They are the dark parts that we dont want to see.  If you dont want to see dont look. Just dont close everyone elses eyes because you dont like what you see.     Our learning, our beliefs, and our freedom of speech are too important to just give up to censorship. We cannot alow others to dictate, in this matter, what is right for us. Our media is too intertwined with our lives. Who's right is it to decide what is right for our lives. If we start giving up these small freedoms then those taking them from us will not stop. They will just keep taking what freedoms we have until we are nothing more that a dictatorship	5
3105	2	Censorship in libraries should not be a big deal. There are materials in libraries that are found to be offensive to some people. To solve the problem, everything should not be censored. Why can't those that find it offensive just steer clear of it? I believe it should be a persons choice to read something or not and if they find it offensive, they should simply put it down.     The book 'To @CAPS1 a @CAPS2' has offended many people. I have read it and was not offended. I found it very interesting and educational. Many people think the book should be censored. But if it is censored, the story would completely change and it would not be the same. I would have learned nothing instead of learning how people lived in @LOCATION1's history.      If all the books and magazines that were offensive to one person were taken off the shelves, and all the books offensive to another taken away, what would be left? Little kids books about kittens? Well that's just lovely.     I am very much against censorship. I believe that if a material is offensive to you, then you shouldn't read it or listen to it. But don't ruin it for the rest of us	3
3106	2	The library is a place of learning, discovery, and knowledge, available to anyone willing to take the time to engross themselves in the rows and rows of information. Including children's books, novels for young adults, @ORGANIZATION1, @PERSON2, music, and movies, the library gives us a magnitude of opportunities to discover something we didn't know before. Although, there are other things that can be found in the library as well. Books including racial slurs, sexual content, and offensive religious comments can accidentally be stumbled upon while searching for something else. A parent should not have to worry about their child coming across a book or magazine containing inappropriate things such as this. I believe that offensive books, music, movies, and magazines should be removed from the shelves of our libraries.      I would like to being by saying that I have an extreme issue with books that include comments, remarks, or names referring to people of a certain race. Imagine if an @CAPS1 @CAPS2 woman brought her daughter of @NUM1 years into the library to find information about a school project. Instead of finding the birth date of @PERSON1, she found a book making fun of @CAPS1 @CAPS4 and calling them inappropriate names. Children should not have to come across a discovery like that in a public facility, where fun and interesting facts should be found; not racial slurs. This type of event could cause serious damage on a child emotionally and mentally. That is why these types of things should be taken off the shelves immediately!     Another issue I have is with sexual content being found in libraries. I do understand that several books contain some sort of sexual content, but I am speaking of a novel describing a sex scene in extreme detail, or images of almost naked women on the cover. If someone is searching for a book of that kind, they can travel to a sex store somewhere nearby and get their fix of sexual reading pleasure. That type of book, however, should not be found in the library. It makes our society look bad and taints our places of knowledge.      Lastly, I would like to express how I feel about offensive religious comments being found in libraries. Every human in the @LOCATION1 is entitled to their own choice of religion. They @MONTH1 practice it freely, which is sadly not the case for others in different countries. If we have an uncommom right such as freedom of religion, then why would we put books in our libraries that include rude comments towards different religions. A @CAPS5 woman should not have to go to a library and come across a book stating her religion is an waste and stupid. This is not the truth, and it should not be in our libraries!      Even though I feel this way about inappropriate books, I understand there has to be some sort of limit when it comes to censorship. Many people fear once we start removing certain books from libraries, more and more books will be taken from the public until almost all our libraries are empty. Yes, if we do not censor within certain limits, this could happen. This is not what I want to happen though. I simply want the people of this community to stop and consider what is easily available for our children to obtain. The least we can do, as parents, is to take books, movies, magazines, and music containing racial slurs, sexual content, and offensive religious comments out of the libraries	4
